target_id	length	eff_length	est_counts	tpm
YOR084W_mRNA	1164	1005.46	377	9.38713
YNL030W_mRNA	312	157.145	3376.83	537.98
YHR084W_mRNA	2067	1908.46	2984	39.1446
YLR032W_mRNA	3510	3351.46	1647	12.3031
YOR039W_mRNA	777	618.461	2091	84.6444
YBR241C_mRNA	1467	1308.46	1637	31.3216
YEL047C_mRNA	1413	1254.46	3149	62.8452
YML125C_mRNA	939	780.461	8265	265.124
YOR264W_mRNA	1293	1134.46	1531.99	33.8082
YPL183C_mRNA	3042	2883.46	6288	54.5953
YNL297C_mRNA	4911	4752.46	4630.95	24.3954
YPR065W_mRNA	1107	948.461	666	17.5797
YNL102W_mRNA	4407	4248.46	3424	20.1771
YPR099C_mRNA	357	200.117	436.621	54.6233
YCR107W_mRNA	1092	933.461	759.228	20.3626
YMR318C_mRNA	1083	924.461	11408	308.942
YPR032W_mRNA	3102	2943.46	2515	21.3913
YOR281C_mRNA	861	702.461	1378.71	49.1368
YMR115W_mRNA	1506	1347.46	1251	23.2433
YFR027W_mRNA	846	687.461	254	9.25001
YMR266W_mRNA	2862	2703.46	8239	76.2976
YDL182W_mRNA	1287	1128.46	5010.88	111.169
YER146W_mRNA	282	129.712	1214.33	234.375
YLR251W_mRNA	594	435.491	522.473	30.0359
YBR182C_mRNA	1359	1200.46	546	11.3868
YDR362C_mRNA	2019	1860.46	1458	19.6198
YNR026C_mRNA	1416	1257.46	1601	31.8752
YBR134W_mRNA	402	244.188	41	4.20354
YHR126C_mRNA	480	321.667	9	0.700475
YPR194C_mRNA	2634	2475.46	773	7.81772
YGL160W_mRNA	1713	1554.46	1620	26.0911
YAL003W_mRNA	621	462.476	32160	1740.94
YPL084W_mRNA	2535	2376.46	2329	24.5355
YNL152W_mRNA	1230	1071.46	664	15.5149
YCL002C_mRNA	792	633.461	918	36.281
YIL117C_mRNA	957	798.461	2608	81.7731
YBL037W_mRNA	3078	2919.46	1736	14.8869
YNL140C_mRNA	570	411.519	311.114	18.9272
YDR232W_mRNA	1647	1488.46	8751	147.19
YJL062W-A_mRNA	258	108.804	1251	287.851
YBR019C_mRNA	2100	1941.46	815	10.5096
YBR022W_mRNA	534	375.532	620	41.3335
YDR158W_mRNA	1098	939.461	10891	290.232
YOR230W_mRNA	1314	1155.46	19158	415.099
YNL099C_mRNA	717	558.461	978	43.8432
YKL173W_mRNA	3027	2868.46	3008	26.2534
YER159C_mRNA	429	270.862	559.851	51.7466
YML057W_mRNA	1815	1656.46	1989.56	30.07
YML055W_mRNA	537	378.519	1115	73.7469
YDR439W_mRNA	1044	885.461	249	7.04023
YBR121C-A_mRNA	159	37.8155	0	0
YJL110C_mRNA	1656	1497.46	1992	33.3035
YNL182C_mRNA	1668	1509.46	4237	70.2738
YJR088C_mRNA	879	720.461	1549.78	53.8537
YMR105C_mRNA	1710	1551.46	9086	146.618
YOR144C_mRNA	2376	2217.46	1390	15.6933
YPR101W_mRNA	528	369.532	553	37.4654
YPL179W_mRNA	1650	1491.46	4034	67.7143
YCL024W_mRNA	3114	2955.46	1311.36	11.1085
YNL180C_mRNA	996	837.461	1636	48.9075
YLR321C_mRNA	1281	1122.46	1224.17	27.3041
YPL224C_mRNA	1455	1296.46	1667	32.1909
YOL081W_mRNA	9240	9081.46	16604	45.7735
YNR001C_mRNA	1440	1281.46	10178	198.845
YOL052C_mRNA	1191	1032.46	2577	62.4881
YOR285W_mRNA	420	261.977	6192	591.731
YIL050W_mRNA	858	699.461	782	27.9898
YMR268C_mRNA	1335	1176.46	680	14.4706
YDL206W_mRNA	2289	2130.46	1096	12.8793
YLR327C_mRNA	261	111.358	1298	291.816
YBR119W_mRNA	897	738.461	297	10.069
YDR125C_mRNA	1362	1203.46	396	8.23796
YFR052W_mRNA	825	666.461	4609	173.136
YLR154C-H_mRNA	132	24.1016	765.75	795.423
YGL211W_mRNA	1080	921.461	1062	28.8539
YIL107C_mRNA	2484	2325.46	1600	17.2253
YJL213W_mRNA	996	837.461	866	25.8887
YML133W-B_mRNA	483	324.656	0	0
YPR204W_mRNA	3099	2940.46	7363.7	62.6956
YBL022C_mRNA	3402	3243.46	17315	133.65
YIL150C_mRNA	1716	1557.46	759	12.2006
YPR103W_mRNA	864	705.461	7221	256.26
YGR141W_mRNA	1404	1245.46	1089	21.8904
YIL165C_mRNA	360	203.022	191	23.553
YDR338C_mRNA	2088	1929.46	1236	16.0376
YKL061W_mRNA	342	185.615	220	29.6733
YOR058C_mRNA	2658	2499.46	1081	10.8277
YPR155C_mRNA	1851	1692.46	782	11.5676
YDR526C_mRNA	471	312.678	305.441	24.4561
YJR046W_mRNA	1815	1656.46	2910	43.9813
YER084W_mRNA	387	229.41	36	3.92869
YOR270C_mRNA	2523	2364.46	23666	250.582
YHR125W_mRNA	306	151.595	6	0.990886
YGL239C_mRNA	315	159.936	187.32	29.3221
YDR533C_mRNA	714	555.461	4200	189.301
YOL154W_mRNA	750	591.461	455	19.2594
YOR115C_mRNA	807	648.461	1037	40.0361
YDR272W_mRNA	825	666.461	1947	73.1388
YLR247C_mRNA	4671	4512.46	6714	37.2498
YER183C_mRNA	636	477.461	916	48.0302
YKL139W_mRNA	1587	1428.46	1274	22.3284
YOL003C_mRNA	1137	978.461	1259	32.2136
YNL091W_mRNA	3723	3564.46	3809	26.7531
YGL097W_mRNA	1449	1290.46	3260	63.2455
YGR030C_mRNA	477	318.667	525	41.2457
YNL157W_mRNA	507	348.568	1637	117.576
YDR197W_mRNA	1170	1011.46	904	22.3757
YEL009C-A_mRNA	408	250.122	10.6898	1.06998
YNL315C_mRNA	957	798.461	1831	57.4105
YDR512C_mRNA	564	405.519	854	52.7234
YOR258W_mRNA	654	495.461	252	12.7335
YPL250W-A_mRNA	288	135.094	139.316	25.818
YDR489W_mRNA	885	726.461	656	22.6073
YEL059C-A_mRNA	225	82.5348	204	61.8799
YOL103W_mRNA	1830	1671.46	3428	51.3454
YLR167W_mRNA	459	300.719	21482.5	1788.47
YLR220W_mRNA	969	810.461	1321	40.8063
YLR455W_mRNA	915	756.461	647	21.4128
YJL020C_mRNA	3474	3315.46	5990	45.2313
YLR282C_mRNA	342	185.615	75.2367	10.1478
YKL180W_mRNA	555	396.519	12616.2	796.565
YOR215C_mRNA	558	399.519	829	51.9486
YDR299W_mRNA	1605	1446.46	2238	38.7356
YKL004W_mRNA	1206	1047.46	4852	115.968
YDL015C_mRNA	933	774.461	6841	221.145
YDR304C_mRNA	678	519.461	6952	335.053
YNL221C_mRNA	2628	2469.46	4373	44.3337
YHR206W_mRNA	1869	1710.46	3089	45.2128
YML090W_mRNA	387	229.41	35	3.81956
YDR271C_mRNA	372	214.653	277.177	32.3278
YOL095C_mRNA	2121	1962.46	543	6.92716
YPL244C_mRNA	1020	861.461	2047	59.4893
YAL053W_mRNA	2352	2193.46	8237	94.0147
YDL181W_mRNA	258	108.804	616	141.74
YGR224W_mRNA	1842	1683.46	569	8.46186
YHR097C_mRNA	1101	942.461	560	14.8758
YLR094C_mRNA	1509	1350.46	1475	27.3443
YPR141C_mRNA	2190	2031.46	600	7.39434
YGR142W_mRNA	1233	1074.46	617	14.3764
YML101C_mRNA	354	197.197	894	113.5
YFL064C_mRNA	525	366.532	32.1476	2.19581
YOL063C_mRNA	2874	2715.46	2585	23.8327
YNR052C_mRNA	1302	1143.46	2862.76	62.6788
YCR060W_mRNA	336	179.898	774	107.714
YGR186W_mRNA	2208	2049.46	3332	40.7026
YNL061W_mRNA	1857	1698.46	7301	107.618
YOL079W_mRNA	399	241.229	255.663	26.5335
YDR367W_mRNA	666	507.461	912	44.9934
YER172C_mRNA	6492	6333.46	7281	28.781
YHR005C-A_mRNA	282	129.712	2307	445.269
YCR071C_mRNA	441	282.816	698	61.7886
YOR389W_mRNA	1875	1716.46	680.076	9.91928
Q0065_mRNA	1671	1512.46	991.186	16.4069
YGR181W_mRNA	318	162.799	648	99.6504
YLR272C_mRNA	3531	3372.46	1895	14.0676
YKL143W_mRNA	1392	1233.46	2228	45.2216
YNL284C_mRNA	969	810.461	1620	50.0426
YLR264C-A_mRNA	117	18.5027	1052	1423.43
YDR085C_mRNA	1863	1704.46	702	10.3111
YIL045W_mRNA	1617	1458.46	301	5.16688
YMR012W_mRNA	3834	3675.46	25375	172.843
YJL187C_mRNA	2460	2301.46	2013	21.8976
YCR007C_mRNA	720	561.461	373	16.6321
YOR231W_mRNA	1527	1368.46	1320	24.1489
YHR193C-A_mRNA	375	217.595	75.0121	8.63054
YJR131W_mRNA	1650	1491.46	1842	30.9196
YDL097C_mRNA	1305	1146.46	6240	136.264
YHR007C_mRNA	1593	1434.46	16200	282.737
YHR214C-D_mRNA	294	140.542	11.5	2.04856
YIL126W_mRNA	4080	3921.46	5914	37.7564
YGL081W_mRNA	963	804.461	99	3.08097
YMR202W_mRNA	669	510.461	4315	211.629
YOR021C_mRNA	642	483.461	1997	103.413
YGR082W_mRNA	552	393.519	2955	187.996
YOR139C_mRNA	393	235.332	84.0974	8.9466
YPR156C_mRNA	1869	1710.46	2126.35	31.1228
YMR083W_mRNA	1128	969.461	17847	460.884
YAL031W-A_mRNA	309	154.366	96.9794	15.7284
YPL240C_mRNA	2130	1971.46	195260	2479.59
YNR040W_mRNA	771	612.461	991	40.509
YPR188C_mRNA	492	333.613	1024	76.8447
YFL015C_mRNA	495	336.613	18.0693	1.3439
YHR212W-A_mRNA	204	66.7829	12.6251	4.73289
YGL028C_mRNA	1629	1470.46	10946	186.363
YDL139C_mRNA	672	513.461	189	9.21533
YJL133W_mRNA	945	786.461	1491	47.4632
YKL062W_mRNA	1893	1734.46	1079	15.5745
YFL011W_mRNA	1641	1482.46	48	0.810615
YPL111W_mRNA	1002	843.461	1702	50.5186
YHR184W_mRNA	1716	1557.46	158	2.53978
YOR120W_mRNA	939	780.461	1283.86	41.1835
YPR119W_mRNA	1476	1317.46	1640	31.1647
YNL246W_mRNA	795	636.461	1204	47.36
YFR017C_mRNA	588	429.491	143	8.33563
YLR338W_mRNA	858	699.461	76.5605	2.7403
YCL012C_mRNA	405	247.156	492	49.8369
YJL086C_mRNA	369	211.731	20	2.36484
YBR243C_mRNA	1347	1188.46	1437	30.2711
YGL021W_mRNA	2283	2124.46	2537	29.8971
YDR200C_mRNA	1815	1656.46	914.836	13.8267
YBR234C_mRNA	1155	996.461	5474	137.531
YJR053W_mRNA	1725	1566.46	908	14.5119
YDR191W_mRNA	1113	954.461	499	13.0888
YDR451C_mRNA	1062	903.461	1005	27.8492
YGL110C_mRNA	1875	1716.46	427	6.22803
YJR044C_mRNA	423	264.951	1443	136.351
YGR167W_mRNA	702	543.461	3907	179.983
YGL017W_mRNA	1512	1353.46	1082	20.0142
YLR181C_mRNA	993	834.461	684	20.5214
YBR179C_mRNA	2568	2409.46	1822	18.9315
YBR247C_mRNA	1452	1293.46	3531	68.3441
YOL038W_mRNA	765	606.461	8765	361.831
YOR023C_mRNA	1701	1542.46	593	9.62492
YJR100C_mRNA	984	825.461	925	28.0545
YOL124C_mRNA	1302	1143.46	3091	67.6759
YOR212W_mRNA	1272	1113.46	2263	50.8822
YDR469W_mRNA	528	369.532	519	35.1619
YMR017W_mRNA	1194	1035.46	59	1.42651
YDR470C_mRNA	1509	1350.46	893	16.5549
YIL158W_mRNA	615	456.476	747	40.9693
YBR124W_mRNA	360	203.022	88.223	10.8791
YLR458W_mRNA	381	223.485	19.7945	2.21744
YML085C_mRNA	1344	1185.46	6815	143.925
YOL013W-A_mRNA	192	58.421	459.339	196.843
YPL192C_mRNA	402	244.188	112	11.4829
YNL097W-A_mRNA	156	36.0915	0	0
YBL086C_mRNA	1401	1242.46	631	12.7146
YDR105C_mRNA	1422	1263.46	2061	40.8388
YGR156W_mRNA	1278	1119.46	887	19.8368
YDR483W_mRNA	1329	1170.46	9768	208.932
YKL172W_mRNA	1284	1125.46	2437	54.2103
YML013W_mRNA	1755	1596.46	2444.93	38.3411
YOL120C_mRNA	561	402.519	16297.1	1013.64
YER092W_mRNA	378	220.522	767	87.0763
YGR291C_mRNA	222	80.2497	2.28571	0.713075
YOR181W_mRNA	1902	1743.46	420	6.03106
YDL123W_mRNA	423	264.951	450	42.521
YGR197C_mRNA	1644	1485.46	1404	23.6626
YBL065W_mRNA	345	188.534	34.2009	4.54157
YIR018W_mRNA	738	579.461	528	22.8122
YPL059W_mRNA	453	294.739	1701	144.485
YPL218W_mRNA	573	414.519	5592	337.737
YBR227C_mRNA	1563	1404.46	1299	23.1556
YJR012C_mRNA	624	465.461	275	14.7913
YDL199C_mRNA	2064	1905.46	459	6.03072
YIR039C_mRNA	1614	1455.46	741.389	12.7527
YMR224C_mRNA	2079	1920.46	920	11.9933
YGR041W_mRNA	1644	1485.46	1890	31.8535
YKR014C_mRNA	705	546.461	1526	69.912
YGL079W_mRNA	657	498.461	851	42.742
YLR180W_mRNA	1149	990.461	7930.82	200.464
YAL019W_mRNA	3396	3237.46	4664	36.0671
YNL121C_mRNA	1854	1695.46	8517	125.764
YBR218C_mRNA	3543	3384.46	10937.1	80.9041
YLR250W_mRNA	705	546.461	3083	141.244
YCR081C-A_mRNA	237	91.8703	31.1721	8.4947
YKL149C_mRNA	1218	1059.46	655	15.4779
YBR244W_mRNA	489	330.613	1276	96.6245
YFL018C_mRNA	1500	1341.46	8199	153.017
YLR222C-A_mRNA	231	87.1563	8	2.29799
YOR333C_mRNA	417	259.012	108.989	10.5346
YAL024C_mRNA	4308	4149.46	1834	11.0653
Q0080_mRNA	147	31.273	0	0
YGL107C_mRNA	1941	1782.46	2492	35.0013
YMR059W_mRNA	387	229.41	298	32.5208
YDR505C_mRNA	2526	2367.46	3147	33.279
YDL045W-A_mRNA	288	135.094	944	174.941
YGL168W_mRNA	333	176.988	774.79	109.597
YMR072W_mRNA	552	393.519	3302	210.072
YDL045C_mRNA	921	762.461	1086	35.659
YPL264C_mRNA	1062	903.461	266	7.37104
YBR160W_mRNA	897	738.461	1690	57.2949
YMR304W_mRNA	3693	3534.46	5798	41.0688
YML087C_mRNA	939	780.461	292	9.36674
YMR195W_mRNA	384	226.44	899	99.3946
YIL082W_mRNA	873	714.461	629	22.0409
YOR335C_mRNA	2877	2718.46	17529	161.432
YDR361C_mRNA	852	693.461	1648	59.4966
YIL056W_mRNA	1923	1764.46	1677	23.7946
YEL008C-A_mRNA	93	12.666	0	0
YBL080C_mRNA	1626	1467.46	682	11.6352
YIL161W_mRNA	708	549.461	295	13.4413
YBR083W_mRNA	1461	1302.46	1041	20.0098
YBR294W_mRNA	2580	2421.46	1072	11.0834
YJR067C_mRNA	426	267.898	253	23.6433
YEL032W_mRNA	2916	2757.46	5857	53.1768
YKR099W_mRNA	2436	2277.46	2493	27.4049
YFL032W_mRNA	321	165.661	38	5.74276
YKL110C_mRNA	942	783.461	1885	60.2352
YPL198W_mRNA	735	576.461	3598.29	156.273
YNL043C_mRNA	321	165.661	534.605	80.7923
YNR055C_mRNA	1761	1602.46	3055	47.7288
YJR146W_mRNA	354	197.197	181	22.9793
YPL006W_mRNA	3513	3354.46	5706	42.5859
YHR132C_mRNA	1293	1134.46	3954	87.2577
YPR161C_mRNA	1974	1815.46	2816	38.8331
YKL094W_mRNA	942	783.461	3429	109.574
YJR140W-A_mRNA	150	32.9176	9.26512	7.04661
YPL145C_mRNA	1305	1146.46	6950	151.769
YMR240C_mRNA	1311	1152.46	472	10.2535
YKR094C_mRNA	387	229.41	8623.63	941.099
YDR406W-A_mRNA	246	98.9766	5	1.26472
YLR424W_mRNA	2127	1968.46	602	7.65643
YGL228W_mRNA	1734	1575.46	4691	74.5443
YNL039W_mRNA	1785	1626.46	1331	20.4876
YMR308C_mRNA	3270	3111.46	14697	118.255
YIL119C_mRNA	1224	1065.46	450	10.5738
YGR183C_mRNA	201	64.6911	466	180.342
YOL046C_mRNA	675	516.461	431.067	20.896
YGL050W_mRNA	822	663.461	738	27.8482
YBR091C_mRNA	330	174.106	539	77.5054
YDR199W_mRNA	366	208.816	88.1641	10.5703
YGR273C_mRNA	525	366.532	28	1.91251
YIL016W_mRNA	480	321.667	659	51.2903
YML001W_mRNA	627	468.461	2849	152.256
YDR266C_mRNA	1920	1761.46	2684	38.1475
YPL092W_mRNA	1377	1218.46	1605	32.9777
YGR086C_mRNA	1020	861.461	6128	178.09
YGR228W_mRNA	345	188.534	255.067	33.8705
YJR130C_mRNA	1920	1761.46	1079	15.3358
YKR058W_mRNA	1851	1692.46	524	7.75121
YEL010W_mRNA	351	194.354	13.3102	1.71454
YKL183C-A_mRNA	213	73.5	32	10.8998
YLR253W_mRNA	1710	1551.46	2021	32.6123
YDL242W_mRNA	354	197.197	80	10.1566
YDR002W_mRNA	606	447.491	4848	271.228
YGL145W_mRNA	2106	1947.46	1434	18.4347
YDR214W_mRNA	1053	894.461	24015	672.168
YBR284W_mRNA	2394	2235.46	681	7.6267
YEL040W_mRNA	1404	1245.46	11317	227.488
YDR130C_mRNA	876	717.461	414	14.4464
YNR036C_mRNA	462	303.719	2561	211.103
YEL059W_mRNA	309	154.366	23	3.7302
YOL029C_mRNA	606	447.491	530	29.6516
Q0160_mRNA	708	549.461	259	11.801
YDL176W_mRNA	2127	1968.46	1000	12.7183
YIL144W_mRNA	2076	1917.46	632	8.25177
YGR098C_mRNA	4893	4734.46	2631	13.9126
YOL155W-A_mRNA	135	25.4707	137	134.659
YPR181C_mRNA	2307	2148.46	11905	138.726
YGR074W_mRNA	441	282.816	539.708	47.7762
YBR158W_mRNA	1650	1491.46	13595	228.204
YDR358W_mRNA	1674	1515.46	811	13.3978
YDR544C_mRNA	429	270.862	0	0
YLR390W-A_mRNA	717	558.461	5364	240.465
YGL098W_mRNA	738	579.461	458	19.7878
YDR460W_mRNA	966	807.461	484	15.0065
YNL304W_mRNA	1254	1095.46	431	9.85002
YOR072W_mRNA	315	159.936	43	6.731
YOL161C_mRNA	363	205.913	6.0501	0.73559
YBR111W-A_mRNA	291	137.818	343	62.3081
YJR069C_mRNA	594	435.491	1394	80.1382
YER105C_mRNA	4176	4017.46	8126	50.6386
YHR182C-A_mRNA	474	315.667	3819.69	302.939
YML114C_mRNA	1533	1374.46	1095	19.9452
YBL071C_mRNA	309	154.366	514	83.3619
YJR120W_mRNA	351	194.354	150	19.3221
YIL026C_mRNA	3453	3294.46	1998	15.1834
YJL186W_mRNA	1761	1602.46	5615	87.7241
Q0070_mRNA	1893	1734.46	38.2956	0.552765
YJL008C_mRNA	1707	1548.46	10290.2	166.372
YNL119W_mRNA	1482	1323.46	1666.16	31.5183
YDR034W-B_mRNA	156	36.0915	81	56.1871
YCR036W_mRNA	1002	843.461	2950	87.5616
YNL034W_mRNA	1839	1680.46	211.207	3.14657
YHR025W_mRNA	1074	915.461	5393	147.485
YJL061W_mRNA	2142	1983.46	2692	33.9788
YMR319C_mRNA	1659	1500.46	3156	52.6586
YOL122C_mRNA	1728	1569.46	2770	44.1861
YLR233C_mRNA	2100	1941.46	514	6.62813
YDL028C_mRNA	2295	2136.46	1146	13.4291
YNL187W_mRNA	1074	915.461	873	23.8743
YEL053C_mRNA	2202	2043.46	2163	26.5001
YCR063W_mRNA	474	315.667	172.955	13.717
YOR252W_mRNA	537	378.519	675	44.645
YAL034W-A_mRNA	870	711.461	197.641	6.95477
YEL046C_mRNA	1164	1005.46	12723	316.797
YOR157C_mRNA	786	627.461	6132	244.665
YNL310C_mRNA	525	366.532	534	36.4742
YGL096W_mRNA	831	672.461	377	14.0356
YGR240C-A_mRNA	201	64.6911	140	54.1801
YCL042W_mRNA	360	203.022	686.165	84.6139
YBR126W-B_mRNA	144	29.7409	959.986	808.104
YDR061W_mRNA	1620	1461.46	1872	32.0682
YER137C_mRNA	447	288.787	119.896	10.394
YDR060W_mRNA	3078	2919.46	9072	77.796
YJR085C_mRNA	318	162.799	2405	369.844
YHR055C_mRNA	186	54.3372	3933.42	1812.3
YLR347W-A_mRNA	141	28.2652	0	0
YPR171W_mRNA	1731	1572.46	856	13.6286
YHR073W_mRNA	2991	2832.46	4917	43.4603
YPR122W_mRNA	3627	3468.46	4009	28.9372
YGR172C_mRNA	747	588.461	1532	65.1775
YJR040W_mRNA	2340	2181.46	2640	30.2979
YBR229C_mRNA	2865	2706.46	7378	68.2486
YDR169C-A_mRNA	150	32.9176	63	47.9148
YDR363W_mRNA	1371	1212.46	784	16.1884
YKR052C_mRNA	915	756.461	764	25.285
YPL091W_mRNA	1452	1293.46	5717	110.655
YKL157W_mRNA	2859	2700.46	12900	119.594
YPL137C_mRNA	3831	3672.46	8131.39	55.4325
YDR422C_mRNA	2448	2289.46	2783	30.4324
YOL107W_mRNA	1029	870.461	484	13.9204
YDR119W_mRNA	2307	2148.46	5425	63.2163
YER013W_mRNA	3438	3279.46	1930	14.7337
YHL015W-A_mRNA	84	10.9345	51	116.769
YLR117C_mRNA	2064	1905.46	1203	15.806
