Gene_id,Condition_1,Condition_2,Condition_3,Condition_4,Condition_5,Condition_6
CYSTGL,1,1,1,1,1,1
CYSTL,1,0,0,1,0,0
CYSTS,1,1,1,1,1,1
DHORD4i,1,0,1,1,0,1
DHORDfum,1,0,1,1,0,1
CYSt2r,1,1,1,1,1,1
CYTD,0,0,1,0,1,1
CYTDK2,1,1,1,1,1,1
DHORDi,1,0,1,1,0,1
CYTK1,1,1,1,1,1,1
CYTK2,1,1,1,1,1,1
DADA@PUNP6,1,0,1,1,1,1
DADK,1,1,1,1,1,1
DIAT@POLYAO2,0,1,1,0,1,1
DAGPYP_SC,1,1,1,1,1,1
DMATT,1,1,1,1,1,1
DASYN_SC,1,1,1,1,1,1
DCMPDA,1,1,1,1,1,1
4HGLSDm@PHCDm@PHCHGSm,1,1,1,1,1,1
DPMVD,1,1,1,1,1,1
DPR,1,0,0,1,0,0
ENO@PGM,1,1,1,1,1,1
DTMPK@DTTPt@NDPK4,1,0,0,1,0,0
DURIK1,1,1,1,1,1,1
DURIPP,1,1,1,1,1,1
DUTPDP,1,0,1,1,0,1
EPISTt,0,1,1,0,1,1
D_LACDcm,0,1,1,0,1,1
4MOPDC,1,1,1,1,1,1
D_LACDm,1,1,0,1,1,0
D_LACt2,1,1,1,1,1,1
D_LACt2m,1,1,1,1,1,1
D_LACtm,1,1,1,1,1,1
ERGSTt,0,1,1,0,1,1
ETOHt,1,1,1,1,1,1
6PGLter@G6PDH2er@G6Pter,1,1,1,1,1,1
AASAD1,1,0,1,0,0,1
AASAD2,1,0,1,0,0,1
ABTA@SSALy,0,1,0,0,1,0
ABUTt2r,0,1,1,0,1,1
ACACT1r@HMGCOAS,1,1,1,1,1,1
ACACT1m@HMGCOASm@HMGCOAtm,1,1,1,1,1,1
FACOAL161,1,1,1,1,1,1
FACOAL180,1,1,1,1,1,1
FACOAL181,1,1,1,1,1,1
FACOAL182,1,1,1,1,1,1
FAS180,1,1,1,1,1,1
FAS100@FAS80_L,1,1,1,1,1,1
FAS100COA@FAS80COA_L,1,1,1,1,1,1
FAS120,1,1,1,1,1,1
FAS120COA,1,1,1,1,1,1
FAS140,1,1,1,1,1,1
FAS140COA,1,1,1,1,1,1
FACOAL140,1,1,1,1,1,1
FAS160,1,1,1,1,1,1
FAS160COA,1,1,1,1,1,1
FAS161,1,1,0,1,1,0
FACOAL160,1,1,1,1,1,1
G3PDm,0,1,0,0,1,0
FAS180COA,1,1,1,1,1,1
GLUK,0,1,1,0,1,0
FAS181,1,1,0,1,1,0
G3PT,1,1,1,1,1,1
G5SADs@P5CR,1,0,0,1,0,0
G5SADrm@PYR5CDm,1,1,1,1,1,1
G5SD,1,0,0,1,0,0
G5SD2,1,0,0,1,0,0
GLUN,1,1,1,1,1,1
G6PDA,1,1,1,1,1,1
G6PDH2r,0,1,1,1,1,1
G6PI,1,1,1,1,1,1
G6PI3,1,1,1,1,1,1
GALT@UGLT,0,1,1,0,0,1
GLUSx,1,0,1,1,0,1
GLUt2r,1,1,1,1,1,1
GLUt5m@PIt5m,0,1,0,0,1,0
GLUt7m,1,1,1,1,1,1
GLXt,1,1,1,1,1,1
GALUi,1,1,1,1,1,1
GAM6Pt,1,1,1,1,1,1
GAPD@PGK,1,1,1,1,1,1
GLYCLm,0,1,1,0,1,1
GLYCt,1,0,0,1,0,0
GLYCt2,1,1,1,1,1,1
GAT1_SC,1,1,1,1,1,1
GBEZ@GLYGS,0,0,0,0,0,0
GCC2am@GCC2bim,0,1,1,0,1,1
GCC2cm_copy1,0,1,1,0,1,1
GCCam@GCCbim@GCCcm,0,1,1,0,1,1
GLYK,0,0,0,0,0,0
GLYOX,1,1,1,1,1,1
GLYt2m@GHMT2rm,1,0,1,1,0,1
GLYt2r,1,1,1,1,1,1
GMPS2,1,0,1,1,0,1
GND@PGL,1,1,1,1,1,1
GNNUC,1,0,1,1,0,1
GF6PTA,0,1,1,0,1,1
GPDDA1,1,1,1,1,1,1
FBA,1,1,1,1,1,1
GHMT2r,1,1,1,0,1,1
GRTT,1,1,1,1,1,1
GSNK,1,1,1,1,1,1
GK1,1,1,1,1,1,1
GK2,1,1,1,1,1,1
GLCGSD,0,1,1,0,1,0
GLCGSDv@GLCNtv,0,1,1,0,1,1
GTHOr,1,1,0,1,0,0
GLCP,1,1,0,1,1,1
GLCS2,1,1,1,1,1,1
GTHPi,1,1,0,1,1,0
GLCt1,1,1,1,1,1,1
GLCtv,1,1,1,1,1,1
FBA3@PFK_3,1,1,1,1,1,1
GLNS,0,1,1,0,1,1
FBP,0,1,1,0,1,1
GLNt2r,1,1,1,1,1,1
GLNt6@GLNt7,1,0,0,0,0,0
GTPH1,0,1,1,0,0,1
FBP26@PFK26,0,1,0,0,1,0
GLU5K,1,0,0,1,1,0
GLUDC,0,1,0,0,1,0
GUAD,0,1,1,0,1,1
GUAPRT,0,0,0,0,0,0
GUAt2r,1,1,1,1,1,1
H2Ot,1,1,1,1,1,1
GLUDxi,0,1,1,0,1,1
GLUDy,1,1,1,1,0,1
H2Oter@HMGCOAR@LNSTLS@O2ter@PMEVK@SQ23EPXter@SQLEr@SQLS@SQLter,1,1,1,1,1,1
H2Otm,1,1,1,1,1,1
H2Otv,1,1,1,1,1,1
FDH,1,1,1,0,1,1
FDNG,1,1,1,1,1,1
HCO3E,1,1,1,1,1,1
FE2utm@FEtm,1,1,1,1,1,1
HCYSMT,1,1,1,1,1,1
HETZK@HMPK1@PMPK@TMN@TMPPP,0,1,1,0,1,1
HEX1,1,1,1,1,1,1
HEX7@SBTD_D2,0,1,0,0,1,1
ILEtmi@ILETAm,1,1,1,1,1,1
FECOSTt,0,1,1,0,1,1
FKYNH@TRPO2,0,0,0,0,0,0
IMPD,1,0,1,1,1,1
IND3ETHt,1,1,1,1,1,1
INDPYRD@TRPTA,1,1,1,1,1,1
INSK,1,1,1,1,1,1
HISt2r,1,1,1,1,1,1
IPC124PLC_SC@IPCS124_SC,1,0,0,1,0,0
IPC126PLC_SC@IPCS126_SC,1,0,0,1,0,0
IPC224PLC_SC@IPCS224_SC,1,0,0,1,0,0
IPC226PLC_SC@IPCS226_SC,1,0,0,1,0,0
IPC324PLC_SC@IPCS324_SC,1,0,0,1,0,0
IPC326PLC_SC@IPCS326_SC,1,0,0,1,0,0
HSDxi,1,0,0,1,0,0
IPDDI,1,1,1,1,1,1
IPMD@IPPMIa@IPPMIb@OMCDC,1,0,0,1,0,0
IPPS,1,1,1,1,0,1
HSDy,1,0,0,1,0,0
HSERTA,0,1,0,0,0,0
HSK@THRS,1,0,0,1,0,0
HXANt2r,1,1,1,1,1,1
HXPRT,0,0,0,0,0,0
HYPOE@PYDAMK,1,1,1,1,1,1
IAMACt,1,1,1,1,1,1
IAMOHt,1,1,1,1,1,1
IBUTACt,1,1,1,1,1,1
IBUTOHt,1,1,1,1,1,1
ICDHxm,0,1,0,0,1,0
KYN,0,1,1,0,0,1
LALDO3@LCADi,1,1,1,1,1,1
ICDHyr,1,1,1,1,1,0
ICDHym,1,0,1,1,0,1
ICL,1,1,1,1,1,1
LANOSTt,0,1,1,0,1,1
LEUTA,1,1,1,1,1,1
ID3ACALDt,1,1,1,1,1,1
ILETA,1,1,1,1,1,1
ILEt2r,1,1,1,1,1,1
ILEt6@ILEt7,1,0,0,0,0,0
LEUt2r,1,1,1,1,1,1
LEUt6@LEUt7,1,0,0,0,0,0
LGTHL,1,1,1,1,1,1
LNS14DM,1,1,1,1,1,1
LNS14DMx,1,0,1,1,0,1
FORt,1,1,1,1,1,1
LPCAT_SC@PCDAGAT,0,1,0,0,1,0
LPP_SC@PAK_SC,1,1,1,1,1,1
FRDcm,1,1,1,1,0,1
LYSt2r,1,1,1,1,1,1
MALS,0,1,1,0,1,1
MALt2r,1,1,1,1,1,1
MALtm,1,1,1,1,1,1
L_LACD2cm,1,1,1,1,1,1
L_LACt2r,1,1,1,1,1,1
FRDm,1,1,0,1,1,0
MDH,1,1,1,1,0,1
MDHm,1,1,1,1,1,1
ME1m,1,1,1,1,1,1
ME2m,1,1,1,1,1,1
FTHFCLm@THFATm,0,1,1,0,1,1
METAT,1,1,1,1,1,1
MTHFC,1,1,1,1,1,1
MTHFD,1,1,1,1,1,1
MTHFD2i,0,1,0,0,1,0
MTHFR3@METS,1,1,1,1,1,1
METB1,0,1,1,0,1,1
FTHFLi,1,1,1,1,1,1
METt2r,1,1,1,1,1,1
NADH2_u6cm,0,1,0,0,1,1
NADH2_u6m,1,1,1,1,1,1
NADK,1,1,1,1,1,1
MEVK1,1,1,1,1,1,1
MEVK2,1,1,1,1,1,1
MEVK3,1,1,1,1,1,1
MEVK4,1,1,1,1,1,1
MFAPS_SC@PETOHM_SC@PMETM_SC,1,1,1,1,1,1
MGSA,1,1,1,1,1,1
NADKm@NADPPPSm,1,1,1,1,1,1
NADPPPS,1,1,1,1,1,1
NADPt@NADS1@NNATr@NNDPR,0,0,0,0,0,0
FUM,1,1,1,1,1,1
MI1PP@PINOS_SC,1,1,1,1,1,1
NDP1,0,1,1,0,0,1
NDP3,0,1,1,0,0,1
NDP4,1,1,1,1,1,1
NDP7,0,1,1,0,0,1
FUMm,1,1,1,1,1,1
NDPK1,1,1,1,1,1,1
NDPK2,1,1,1,1,1,1
NDPK3,1,1,1,1,1,1
NDPK5,1,1,1,1,1,1
NDPK6,1,1,1,1,1,1
FUMt2r,1,1,1,1,1,1
NDPK7,1,1,1,1,1,1
NDPK8,1,1,1,1,1,1
NFORTYRt@NFTYROX@TYRNFT,1,1,1,0,0,1
NH4t,0,1,1,0,1,1
NH4ti,1,0,0,1,0,0
NH4tm,1,1,1,1,1,1
NTD1,1,1,1,1,1,1
NTD10@PUNP7,1,1,1,1,1,1
NTD11,0,1,0,0,1,0
NTD2,0,0,0,0,0,0
NTD4,0,0,0,0,0,0
NTD5,1,1,1,1,1,1
NTD6,1,1,1,1,1,1
NTD7,1,1,1,1,1,1
NTD8@PUNP4,1,1,1,1,1,1
NTD9,1,1,1,1,1,1
NTP3,1,1,1,1,1,1
G3PCt,0,1,1,0,1,0
G3PD1ir,1,1,1,1,1,1
NTP4,1,1,1,1,1,1
G3PD1irm,1,1,0,1,0,0
O2t,1,1,1,1,1,1
OAAt,1,1,1,1,1,1
PEtm_SC@PSERDm_SC,1,1,1,1,1,1
OAAt2m,1,0,1,1,1,1
PPM,1,1,1,1,1,1
OHACT1,1,0,1,1,0,1
PFK,1,1,1,1,1,1
OHACT2,1,0,1,1,0,1
PGCD@PSERT@PSP_L,0,0,0,1,1,0
PGI,1,1,1,1,1,1
OHACT4,1,0,1,1,0,1
PGMT,1,1,1,1,1,1
OHACT5@PHEACt,1,0,1,1,0,1
ORNDC,1,0,0,1,0,0
PPND,1,1,1,1,1,1
ORNTA,0,1,0,0,0,0
ORNt2r,1,1,1,1,1,1
PHETA1,1,1,1,1,1,1
PHEt2r,1,1,1,1,1,1
PI35BP5P_SC@PI3P5K_SC,1,1,1,1,0,1
PPND2,1,1,0,1,1,0
P5CDm,1,1,1,1,1,1
PPNDH,0,0,0,0,0,0
PACALDt,1,1,1,1,1,1
PI45BP5P_SC@PI4P5K_SC,1,1,1,1,0,1
PIt2m,1,1,1,1,1,1
PAPt,1,1,1,1,1,1
PIt2r,1,1,1,1,1,1
PC,1,1,0,1,1,0
PLBPC_SC,1,1,1,1,1,1
PLD_SC,0,1,0,0,0,0
PMDPHT,1,1,1,1,1,1
GCC2cm_copy2,1,1,1,1,1,1
PDHm,1,1,1,1,1,1
PMI12346PH@PMI12346PS,0,0,0,0,0,0
PMI1346PH@PMI1346PS,0,0,0,0,0,0
PPYRDC,1,1,1,1,1,1
PYRDC2,1,1,1,1,1,1
PYRt,1,1,1,1,1,1
POLYAO3,0,1,1,0,1,1
PYRt2,1,1,1,1,1,1
PYRt2m,1,1,1,1,1,1
PPA,1,1,1,1,1,1
PPAm,1,1,1,1,1,1
PPCK,0,1,1,0,1,1
SLFAT,0,1,0,0,1,0
RBFSa,1,1,1,1,1,1
RBFSb,1,1,1,1,1,1
SO3ti,0,1,1,0,0,1
SO4ti,1,1,1,1,1,1
RBK,0,1,0,0,1,0
SPMDAT1,1,1,1,1,1,1
RNDR1,1,0,1,1,0,1
SPMDt3i,1,1,1,1,1,1
SPMDtex2,1,1,1,1,1,1
RNDR2,1,0,0,1,0,0
RNDR3,1,0,0,1,0,0
SPMS,1,0,0,1,0,0
SPRMS,1,0,0,1,0,0
RNDR4,1,0,0,1,0,0
PRO1xm@PROtm,1,1,1,0,1,1
RNTR1,1,1,1,1,1,1
RNTR2,1,1,1,1,1,1
RNTR3,1,1,1,1,1,1
RNTR4,1,1,1,1,1,1
RPE,1,1,1,1,1,1
PROt2r,1,1,1,1,1,1
RPI,1,1,1,1,1,1
SUCCt2r,1,1,1,1,1,1
SADT,0,1,0,0,1,0
SAM24MT,1,0,0,1,0,0
SUCCtm,1,1,1,1,1,1
SUCD1m,1,1,1,1,1,1
SUCD2_u6m,1,1,1,1,1,1
SUCD3_u6m,1,1,1,1,1,1
SUCFUMtm,1,1,1,1,1,1
SBTR,0,1,1,0,1,1
SBT_Dt,1,1,1,1,1,1
SULR,0,1,0,1,0,0
PRPPS,1,1,1,1,1,1
SERt2m,1,1,1,1,1,1
SERt2r,1,1,1,1,1,1
TAGL_SC,1,1,1,1,1,1
TALA,1,1,1,1,1,1
SHSL1@SHSL4r,0,1,0,0,1,0
THIORDXi,0,1,0,0,1,0
THMP,1,1,1,1,1,1
THRt2r,1,1,1,1,1,1
THYMt3r@TMDPP,1,1,1,1,1,1
TKT1,1,1,1,1,1,1
TKT2,1,1,1,1,1,1
TMDK1,1,1,1,1,1,1
TMDPK@TMPK,1,1,1,1,1,1
THRA,1,1,0,1,1,0
THRD_L,1,1,1,1,1,1
THRD_Lm@THRt2m,1,0,1,1,0,1
URIK1,1,1,1,1,1,1
TPI,1,1,1,1,1,1
TRDR,1,1,1,1,1,1
TRE6PP@TRE6PS,0,1,0,0,0,0
URIK2,1,1,1,1,1,1
UTPH1,0,1,1,0,0,1
TREH,1,1,1,1,1,1
PSERS_SC,1,1,1,1,1,1
TREHv@TREt2v,1,1,1,1,1,1
VALTA,1,1,1,1,1,1
VALTAim@VALt2m,1,1,1,1,1,1
TREt2,1,1,1,1,1,1
VALt2r,1,1,1,1,1,1
XANt,1,1,1,1,1,1
XPPT,0,1,1,0,1,1
TRIGS_SC,1,1,1,1,1,1
TRPt2r,1,1,1,1,1,1
TTDCAtr,1,1,1,1,1,1
TYRTAi,1,1,1,1,1,1
TYRt2r,1,1,1,1,1,1
TYRt6@TYRt7,1,1,1,1,1,1
ZYMSTt,0,1,1,0,1,1
BIOMASS_SC5_notrace,1,1,1,1,1,1
SERD_L,1,1,1,1,1,1
UMPK,1,1,1,1,1,1
PStm_SC,1,1,1,1,1,1
UPPRT,1,0,0,1,0,0
URAt2,0,1,1,0,0,0
UREA2t2,1,1,1,1,1,1
URIDK2r,1,1,1,1,1,1
PTRCt3i,1,1,1,1,1,1
PTRCtex2,1,1,1,1,1,1
PUNP1,1,1,1,1,1,1
PUNP2,1,1,1,1,1,1
PUNP3,1,1,1,1,1,1
PUNP5,1,1,1,1,1,1
PYK,1,1,1,1,1,1
PYNP2r,1,1,1,1,1,1
PYRDC,1,1,1,1,1,1
EX_zymst_e,1,1,1,1,1,1
EX_pyr_e,1,1,1,1,1,1
EX_ptrc_e,1,1,1,1,1,1
EX_pro__L_e,1,1,1,1,1,1
EX_xan_e,1,1,1,1,1,1
EX_val__L_e,1,1,1,1,1,1
EX_urea_e,1,1,1,1,1,1
EX_ura_e,1,1,1,1,1,1
EX_tyr__L_e,1,1,1,1,1,1
EX_ttdca_e,1,1,1,1,1,1
EX_pnto__R_e,1,1,1,1,1,1
EX_pi_e,1,1,1,1,1,1
EX_pheac_e,1,1,1,1,1,1
EX_phe__L_e,1,1,1,1,1,1
EX_trp__L_e,1,1,1,1,1,1
EX_tre_e,1,1,1,1,1,1
EX_pap_e,1,1,1,1,1,1
EX_pacald_e,1,1,1,1,1,1
EX_thym_e,1,1,1,1,1,1
EX_thr__L_e,1,1,1,1,1,1
EX_orn_e,1,1,1,1,1,1
EX_oaa_e,1,1,1,1,1,1
EX_o2_e,1,1,1,1,1,1
EX_nh4_e,1,1,1,1,1,1
EX_nadp_e,1,1,1,1,1,1
EX_succ_e,1,1,1,1,1,1
EX_spmd_e,1,1,1,1,1,1
EX_so4_e,1,1,1,1,1,1
EX_so3_e,1,1,1,1,1,1
EX_ser__L_e,1,1,1,1,1,1
EX_met__L_e,1,1,1,1,1,1
EX_sbt__D_e,1,1,1,1,1,1
EX_mal__L_e,1,1,1,1,1,1
EX_lys__L_e,1,1,1,1,1,1
EX_leu__L_e,1,1,1,1,1,1
EX_dttp_e,1,1,1,1,1,1
EX_lanost_e,1,1,1,1,1,1
EX_lac__L_e,1,1,1,1,1,1
EX_lac__D_e,1,1,1,1,1,1
EX_ind3eth_e,1,1,1,1,1,1
EX_ile__L_e,1,1,1,1,1,1
EX_id3acald_e,1,1,1,1,1,1
EX_ibutoh_e,1,1,1,1,1,1
EX_cys__L_e,1,1,1,1,1,1
EX_csn_e,1,1,1,1,1,1
EX_co2_e,1,1,1,1,1,1
EX_cit_e,1,1,1,1,1,1
EX_ibutac_e,1,1,1,1,1,1
EX_iamoh_e,1,1,1,1,1,1
EX_iamac_e,1,1,1,1,1,1
EX_hxan_e,1,1,1,1,1,1
EX_his__L_e,1,1,1,1,1,1
EX_btd_RR_e,1,1,1,1,1,1
EX_asp__L_e,1,1,1,1,1,1
EX_asn__L_e,1,1,1,1,1,1
EX_h_e,1,1,1,1,1,1
EX_h2o_e,1,1,1,1,1,1
EX_arg__L_e,1,1,1,1,1,1
EX_gua_e,1,1,1,1,1,1
EX_glyc_e,1,1,1,1,1,1
EX_gly_e,1,1,1,1,1,1
EX_ala__L_e,1,1,1,1,1,1
EX_akg_e,1,1,1,1,1,1
EX_ade_e,1,1,1,1,1,1
EX_glx_e,1,1,1,1,1,1
EX_glu__L_e,1,1,1,1,1,1
EX_gln__L_e,1,1,1,1,1,1
EX_glc__D_e,1,1,1,1,1,1
EX_gam6p_e,1,1,1,1,1,1
EX_aces_e,1,1,1,1,1,1
EX_acald_e,1,1,1,1,1,1
EX_ac_e,1,1,1,1,1,1
EX_Nbfortyr_e,1,1,1,1,1,1
EX_4abz_e,1,1,1,1,1,1
EX_g3pc_e,1,1,1,1,1,1
EX_fum_e,1,1,1,1,1,1
EX_4abut_e,1,1,1,1,1,1
EX_3mop_e,1,1,1,1,1,1
EX_for_e,1,1,1,1,1,1
EX_3mbald_e,1,1,1,1,1,1
EX_3c3hmp_e,1,1,1,1,1,1
EX_2phetoh_e,1,1,1,1,1,1
EX_2mppal_e,1,1,1,1,1,1
EX_2mbtoh_e,1,1,1,1,1,1
EX_2mbald_e,1,1,1,1,1,1
EX_2mbac_e,1,1,1,1,1,1
EX_fecost_e,1,1,1,1,1,1
EX_etoh_e,1,1,1,1,1,1
EX_2hb_e,1,1,1,1,1,1
EX_ergst_e,1,1,1,1,1,1
EX_epist_e,1,1,1,1,1,1
